Height,pxDist,CmDist
23,226.53,180.34
24,216.395,180.34
25,206.22,180.34
26,203.29,180.34
27,193.88,180.34
28,182.375,180.34
29,181.295,180.34
30,172.09,180.34
31,166.475,180.34
32,161.035,180.34
33,163.32,180.34
34,158.72,180.34
35,145.92,180.34
36,147.175,180.34
37,147.25,180.34
38,141.17,180.34
39,141.15,180.34
40,139.19,180.34
41,132.89,180.34
42,129.69,180.34
43,117.345,180.34
44,124.675,180.34
45,121.785,180.34
46,115.905,180.34
47,118.96,180.34
48,114.88,180.34
49,108.915,180.34
50,111.4,180.34
51,109.01,180.34
52,104.16,180.34
53,96.07,180.34
54,97.47,180.34
55,92.28,180.34
56,99.07,180.34
57,90.81,180.34
58,95.695,180.34
59,94.27,180.34
60,87.15,180.34
61,85.65,180.34
62,79.61,180.34
63,82.57,180.34
64,76.64,180.34
65,82.9,180.34
66,77,180.34
67,81.855,180.34
68,81.17,180.34
69,80.67,180.34
70,80.91,180.34
71,80.125,180.34
72,77.81,180.34
73,73.095,180.34
74,77.575,180.34
75,77.645,180.34
76,72.63,180.34
77,69.84,180.34
78,68.99,180.34
79,70.555,180.34
80,67.515,180.34
81,71.365,180.34
83,61.405,180.34
84,67.81,180.34
86,67.67,180.34
87,61.69,180.34
88,66.86,180.34
89,62.68,180.34
90,62.775,180.34
91,61,180.34
92,61.47,180.34
93,66.37,180.34
94,56.435,180.34
95,60.05,180.34
96,57.72,180.34
97,59.76,180.34
98,60.2,180.34
99,53.42,180.34
100,51.43,180.34
